id,datetime,upserted_rows
44214,1712902835964,0
44215,1712903135968,0
44216,1712903435969,0
44217,1712903735969,0
44218,1712904035958,0
44219,1712904335974,0
44220,1712904635965,0
44221,1712904935972,0
44222,1712905235973,0
44223,1712905535957,0
44224,1712905835958,0
44225,1712906135956,0
44226,1712906435973,0
44227,1712906736106,0
44228,1712907035956,0
44229,1712907335969,0
44230,1712907635956,0
44231,1712907935976,0
44232,1712908236021,0
44233,1712908535957,0
44234,1712908835966,0
44235,1712909135965,0
44236,1712909435961,0
44237,1712909735971,0
44238,1712910035966,0
44239,1712910335967,0
44240,1712910635851,0
44241,1712910935954,0
44242,1712911235973,0
44243,1712911535952,0
44244,1712911835958,0
44245,1712912135959,0
44246,1712912435960,0
44247,1712912735966,0
44248,1712913035972,0
44249,1712913335965,0
44250,1712913635971,0
44251,1712913935963,0
44252,1712914235966,0
44253,1712914535972,0
44254,1712914836161,0
44255,1712915135962,0
44256,1712915435956,0
44257,1712915735955,0
44258,1712916035976,0
44259,1712916335973,0
44260,1712916635957,0
44261,1712916935955,0
44262,1712917235971,0
44263,1712917535955,0
44264,1712917835957,0
44265,1712918135959,0
44266,1712918435969,0
44267,1712918735972,0
44268,1712919035978,0
44269,1712919335969,0
44270,1712919636007,0
44271,1712919935965,0
44272,1712920235974,0
44273,1712920535981,0
44274,1712920835846,0
44275,1712921135961,0
44276,1712921435958,0
44277,1712921735973,0
44278,1712922035970,0
44279,1712922336103,0
44280,1712922635967,0
44281,1712922935970,0
44282,1712923235971,0
44283,1712923535958,0
44284,1712923835970,0
44285,1712924135959,0
44286,1712924435961,0
44287,1712924735968,0
44288,1712925035967,0
44289,1712925335975,0
44290,1712925635967,0
44291,1712925935960,0
44292,1712926235963,0
44293,1712926535961,0
44294,1712926835956,0
44295,1712927135974,0
44296,1712927435953,0
44297,1712927735966,0
44298,1712928035961,0
44299,1712928335957,0
44300,1712928635967,0
44301,1712928935992,0
44302,1712929235967,0
44303,1712929535970,0
44304,1712929835975,0
44305,1712930135970,0
44306,1712930435970,0
44307,1712930735961,0
44308,1712931036022,0
44309,1712931335959,0
44310,1712931635975,0
44311,1712931935975,0
44312,1712932235977,0
44313,1712932535978,0
44314,1712932835966,0
44315,1712933135974,0
44316,1712933435970,0
44317,1712933735972,0
44318,1712934035962,0
44319,1712934335971,0
44320,1712934635973,0
44321,1712934935956,0
44322,1712935235959,0
44323,1712935535967,0
44324,1712935835976,0
44325,1712936135962,0
44326,1712936435962,0
44327,1712936735960,0
44328,1712937035953,0
44329,1712937335964,0
44330,1712937635965,0
44331,1712937935970,0
44332,1712938235971,0
44333,1712938535972,0
44334,1712938835965,0
44335,1712939135961,0
44336,1712939435980,0
44337,1712939735965,0
44338,1712940035995,0
44339,1712940335970,0
44340,1712940636145,0
44341,1712940935967,0
44342,1712941235830,0
44343,1712941535965,0
44344,1712941835958,0
44345,1712942135962,0
44346,1712942435967,0
44347,1712942735960,0
44348,1712943035954,0
44349,1712943335966,0
44350,1712943635969,0
44351,1712943935955,0
44352,1712944235948,0
44353,1712944535969,0
44354,1712944836030,0
44355,1712945136109,0
44356,1712945436513,0
44357,1712945735968,0
44358,1712946036095,0
44359,1712946335999,0
44360,1712946635960,0
44361,1712946936143,0
